Metric,Value,CI (2.5%),CI (97.5%)
Recall/Sensitivity,0.905,0.765,0.99
Precision/Specificity,0.864,0.7,0.99
Accuracy,0.853,0.735,0.971
F1 Score,0.884,0.765,0.971
